,ids,output label
0,25672,0
1,59964,1
2,66230,2
3,50801,2
4,83307,3
5,91787,6
6,58429,8
7,99131,0
8,80125,5
9,25082,0
10,37535,3
11,28128,4
12,52636,4
13,63925,6
14,43271,8
15,38036,5
16,54620,4
17,61416,3
18,74550,6
19,40888,4
20,49889,4
21,58702,4
22,38675,2
23,89732,1
24,65266,5
25,69186,7
26,67426,8
27,34744,4
28,21450,4
29,49381,1
30,62348,7
31,76542,7
32,63348,7
33,22624,8
34,81445,1
35,32572,0
36,40068,9
37,30250,4
38,70825,0
39,84690,8
40,20991,2
41,56127,0
42,86208,4
43,57617,2
44,81944,2
45,65695,0
46,74511,3
47,35715,3
48,24710,2
49,74948,3
50,42558,2
51,23142,4
52,61813,9
53,73095,3
54,60517,0
55,83239,9
56,27989,9
57,88497,4
58,80064,2
59,59218,3
60,70938,4
61,79502,5
62,67337,4
63,66989,6
64,42838,1
65,45432,1
66,99950,0
67,73503,9
68,74623,5
69,86195,2
70,85871,7
71,89572,3
72,47700,4
73,69955,2
74,73068,5
75,68676,7
76,97211,1
77,51436,6
78,76766,1
79,56592,3
80,54091,9
81,89080,8
82,91436,1
83,31162,6
84,37787,4
85,59003,8
86,58444,9
87,94671,4
88,96090,1
89,48650,6
90,86683,3
91,28923,4
92,80490,4
93,33243,2
94,33376,5
95,70098,4
96,32859,4
97,27828,7
98,86696,7
99,22348,3
100,97292,9
101,92242,3
102,85423,9
103,66808,6
104,20148,8
105,69852,2
106,49188,3
107,46819,8
108,90676,2
109,64255,7
110,74085,5
111,84262,7
112,23433,4
113,64682,4
114,89730,7
115,39257,5
116,85277,6
117,68597,2
118,58172,7
119,74344,1
120,76740,0
121,29923,5
122,55642,4
123,60197,4
124,56643,7
125,59965,0
126,75819,5
127,33792,5
128,81470,0
129,27589,3
130,35044,1
131,37402,7
132,83100,9
133,47056,4
134,76274,9
135,26512,6
136,26450,4
137,39209,2
138,29741,0
139,65201,4
140,22912,3
141,41997,3
142,34632,3
143,61348,2
144,89061,2
145,37590,6
146,30417,3
147,45608,0
148,74383,1
149,47710,3
150,46217,4
151,91770,3
152,40691,3
153,94476,1
154,63619,9
155,99108,3
156,66297,3
157,71727,3
158,40577,9
159,71901,5
160,95169,6
161,44394,7
162,25746,7
163,93828,3
164,74267,2
165,48600,4
166,91562,0
167,83633,6
168,67564,7
169,60624,2
170,48978,6
171,75916,8
172,85258,9
173,33766,0
174,50738,2
175,96565,4
176,77683,6
177,81255,5
178,33909,7
179,72087,9
180,49847,7
181,72195,1
182,34951,3
183,56816,9
184,92917,1
185,44144,7
186,92202,5
187,56928,6
188,77278,0
189,52873,7
190,97815,4
191,82582,9
192,59413,1
193,97766,6
194,22386,3
195,88803,0
196,70052,2
197,98954,6
198,62022,2
199,24449,9
200,56317,0
201,61404,6
202,99335,4
203,20777,5
204,49296,5
205,20359,8
206,73365,6
207,90562,4
208,40716,1
209,71675,9
210,24079,3
211,60298,4
212,31696,7
213,59911,1
214,46582,9
215,46921,5
216,20251,9
217,87438,4
218,76095,2
219,86303,8
220,96664,5
221,28798,7
222,89429,9
223,31839,3
224,70617,2
225,49610,4
226,30649,7
227,64040,9
228,95619,8
229,75825,1
230,47064,7
231,46999,7
232,24589,8
233,44732,2
234,88541,9
235,83324,7
236,53928,2
237,77796,0
238,99104,9
239,97018,2
240,82248,1
241,88226,5
242,48869,7
243,76927,7
244,45159,0
245,91759,2
246,71513,4
247,66191,5
248,50559,3
249,68048,3
250,74681,8
251,30017,1
252,38673,0
253,96452,4
254,91120,4
255,83873,8
256,46670,4
257,78507,9
258,71559,8
259,28784,3
260,97934,3
261,35167,2
262,48838,4
263,88169,4
264,21903,4
265,30589,9
266,95787,3
267,75457,9
268,72111,2
269,45755,8
270,38033,6
271,84856,8
272,87745,8
273,74868,2
274,70347,7
275,82401,2
276,45308,5
277,47781,5
278,66078,9
279,50288,7
280,59515,8
281,33803,6
282,63131,4
283,31079,8
284,76564,3
285,72865,8
286,60762,3
287,68791,1
288,92148,2
289,98086,2
290,91618,2
291,63573,1
292,27453,8
293,22678,1
294,82714,3
295,21250,0
296,91280,3
297,44910,1
298,86242,7
299,93901,0
300,69719,5
301,40822,2
302,32675,0
303,48395,9
304,56776,6
305,95780,2
306,38644,7
307,66518,4
308,29860,7
309,42318,7
310,79663,1
311,85923,4
312,90284,6
313,45247,3
314,27963,7
315,89840,8
316,98354,7
317,63085,0
318,50826,9
319,24964,2
320,50101,5
321,40355,2
322,98872,5
323,74187,3
324,30122,8
325,75839,5
326,87166,8
327,26477,7
328,98785,7
329,77917,6
330,33449,1
331,91186,2
332,47921,9
333,39876,7
334,54822,6
335,87112,3
336,64092,1
337,44277,6
338,31165,3
339,50726,8
340,44309,6
341,81532,5
342,89761,5
343,77931,0
344,41887,9
345,94989,2
346,81896,9
347,68869,8
348,62133,0
349,98621,6
350,51942,9
351,57647,6
352,23983,4
353,51138,3
354,31347,0
355,48249,3
356,57141,0
357,97797,8
358,49691,5
359,52743,9
360,24898,5
361,60405,1
362,31012,2
363,71020,0
364,79523,7
365,70112,1
366,41221,2
367,89378,7
368,27071,7
369,36082,9
370,22137,8
371,72112,4
372,87231,0
373,44400,2
374,27875,2
375,30842,6
376,93011,6
377,99885,7
378,34072,2
379,76584,9
380,88003,8
381,62622,3
382,70416,9
383,20259,9
384,71811,5
385,30693,1
386,32086,4
387,85637,4
388,42222,9
389,43296,5
390,45796,5
391,20819,3
392,74801,3
393,85034,6
394,73290,7
395,73663,4
396,87389,2
397,44762,4
398,60114,0
399,87508,5
400,94632,0
401,25614,2
402,30006,0
403,41109,4
404,71693,3
405,26671,5
406,33169,7
407,91828,0
408,81991,5
409,34413,0
410,62440,7
411,42315,0
412,42384,5
413,39116,6
414,36905,7
415,83885,7
416,68097,5
417,46742,5
418,30567,4
419,56077,4
420,50892,0
421,56053,4
422,71154,0
423,82266,9
424,20818,8
425,41183,4
426,52072,1
427,34381,0
428,78494,6
429,54901,4
430,45232,4
431,57402,9
432,55586,4
433,81424,3
434,76223,1
435,78610,2
436,83211,5
437,60452,8
438,60955,3
439,84731,8
440,52995,2
441,24619,7
442,42687,1
443,95432,2
444,23331,0
445,78792,7
446,86145,8
447,24437,7
448,27600,4
449,47085,5
450,51984,1
451,55408,6
452,87267,3
453,72084,0
454,43730,5
455,46918,8
456,72314,4
457,65649,7
458,39345,9
459,64076,5
460,96929,5
461,81553,8
462,56630,3
463,48433,0
464,81774,3
465,90075,4
466,94710,7
467,96419,1
468,50803,5
469,85363,6
470,36771,7
471,34679,5
472,31758,9
473,66173,6
474,33279,6
475,98987,7
476,92064,0
477,60926,6
478,92511,7
479,76284,6
480,61529,8
481,85174,6
482,25805,3
483,81943,7
484,95964,3
485,41026,1
486,64690,4
487,98288,9
488,27389,7
489,93277,0
490,61948,8
491,52495,2
492,35830,4
493,93320,5
494,54611,8
495,52536,1
496,44650,7
497,71545,1
498,38159,9
499,48413,3
500,95014,8
501,53454,1
502,73657,2
503,73629,2
504,81994,9
505,67809,3
506,50501,4
507,24544,6
508,24740,6
509,34623,4
510,92470,2
511,39690,5
512,53169,7
513,95826,1
514,45778,2
515,72393,0
516,78934,0
517,69816,2
518,99252,9
519,28163,4
520,38569,5
521,79072,0
522,83518,4
523,42769,8
524,74483,2
525,48274,2
526,44101,5
527,66939,5
528,35632,3
529,59553,7
530,81645,1
531,51157,9
532,65962,9
533,25078,9
534,87709,7
535,76321,3
536,76212,2
537,46163,4
538,80762,2
539,30919,1
540,38993,6
541,58732,2
542,74700,4
543,20237,3
544,89145,2
545,70764,7
546,97937,3
547,66122,5
548,86788,9
549,88346,7
550,48140,7
551,62393,1
552,85905,7
553,71372,0
554,34370,2
555,30736,8
556,65468,4
557,48671,4
558,73566,4
559,63202,8
560,59961,8
561,31743,3
562,62568,7
563,42941,3
564,73518,2
565,46070,7
566,44728,8
567,45378,4
568,21270,2
569,47300,6
570,82095,6
571,61087,7
572,81178,9
573,26218,4
574,21037,5
575,33043,8
576,60921,5
577,99533,3
578,49600,1
579,40971,1
580,58569,2
581,28941,7
582,55648,6
583,52912,4
584,70758,5
585,61775,0
586,88854,2
587,82750,2
588,60648,3
589,74827,4
590,43562,3
591,60300,2
592,33046,0
593,46755,4
594,66552,5
595,93567,2
596,51467,9
597,66094,7
598,41867,3
599,46414,1
600,83696,1
601,40554,3
602,37773,5
603,73298,5
604,99759,9
605,97808,8
606,71454,5
607,31602,3
608,45251,0
609,31645,3
610,86027,7
611,25859,9
612,57103,4
613,36908,2
614,29679,6
615,56101,8
616,98341,0
617,44076,1
618,92633,8
619,31631,9
620,53203,1
621,35480,7
622,87416,3
623,27207,7
624,91927,9
625,85318,3
626,62873,1
627,63227,8
628,30498,3
629,67372,9
630,20907,4
631,48622,7
632,56444,9
633,78313,3
634,42241,7
635,54108,9
636,68650,5
637,98610,1
638,72448,3
639,53407,8
640,79056,5
641,90737,9
642,84008,2
643,85741,2
644,34542,0
645,32946,5
646,87903,6
647,79911,0
648,46143,5
649,86828,1
650,77961,3
651,27410,9
652,85089,9
653,74538,3
654,37514,9
655,34306,7
656,23127,4
657,61628,4
658,67144,2
659,62376,3
660,67679,7
661,92986,6
662,34350,1
663,22872,1
664,94831,8
665,57600,7
666,61248,7
667,54437,5
668,48290,8
669,55350,8
670,27746,2
671,54239,5
672,53452,8
673,33326,1
674,83270,2
675,31620,2
676,64354,6
677,29049,7
678,37422,3
679,90827,7
680,87314,6
681,96708,7
682,55990,5
683,73330,1
684,93260,3
685,68959,8
686,65904,3
687,21776,0
688,52734,3
689,35777,8
690,83746,2
691,86983,0
692,86702,1
693,38204,8
694,38998,0
695,89402,7
696,55569,2
697,49049,7
698,85292,0
699,67988,9
700,68369,1
701,30263,1
702,90092,3
703,36773,2
704,37205,5
705,70891,8
706,59546,2
707,71344,7
708,76874,8
709,74628,9
710,25230,0
711,29168,1
712,24799,3
713,96187,5
714,52977,9
715,59444,6
716,54400,3
717,58230,9
718,61567,7
719,99368,1
720,70927,2
721,57873,9
722,21458,0
723,73917,1
724,95587,7
725,52975,0
726,87668,0
727,84016,5
728,75641,1
729,40816,9
730,42323,8
731,39590,7
732,39485,3
733,65194,9
734,75052,1
735,93785,0
736,61571,3
737,56962,5
738,92774,9
739,29809,4
740,50141,9
741,93566,3
742,97204,9
743,53070,3
744,38238,8
745,42537,8
746,24930,0
747,87819,2
748,20290,8
749,73674,9
750,67948,7
751,63858,9
752,33358,0
753,48122,5
754,79974,9
755,30660,8
756,41016,2
757,67670,7
758,39694,7
759,64073,3
760,93793,1
761,60785,9
762,29272,8
763,28658,3
764,37292,4
765,28359,8
766,97664,7
767,54722,1
768,62778,8
769,54459,8
770,44915,0
771,66663,6
772,36991,7
773,75326,1
774,34022,4
775,83104,3
776,70191,3
777,46904,2
778,93812,1
779,24673,4
780,34375,5
781,79563,0
782,25280,7
783,46588,8
784,90129,8
785,47077,8
786,88670,6
787,94374,0
788,87643,2
789,65235,7
790,69524,8
791,81834,1
792,91768,9
793,55917,3
794,83584,9
795,85852,2
796,49712,4
797,26273,8
798,72550,3
799,82755,1
800,30203,1
801,87260,2
802,84129,1
803,42884,4
804,55590,6
805,95903,9
806,42871,9
807,99879,1
808,64013,1
809,58783,5
810,25783,9
811,24504,4
812,73408,7
813,25262,9
814,30091,5
815,48889,5
816,79712,8
817,38607,0
818,32844,3
819,94860,0
820,62986,1
821,59582,7
822,41473,9
823,50530,3
824,68116,5
825,70941,4
826,32893,6
827,90532,5
828,89672,2
829,93853,9
830,92731,8
831,23634,5
832,64808,9
833,48666,2
834,41400,9
835,76804,3
836,57456,8
837,96290,7
838,24274,6
839,77714,5
840,75699,1
841,42311,7
842,27731,6
843,29701,8
844,50626,8
845,99023,9
846,89035,9
847,55096,0
848,49272,4
849,55799,8
850,83057,9
851,34530,7
852,41858,3
853,34546,0
854,88110,4
855,65782,5
856,41971,0
857,99612,2
858,89715,0
859,57014,8
860,36330,9
861,75192,2
862,62197,2
863,76063,8
864,61610,2
865,88880,2
866,35023,6
867,88781,9
868,38790,6
869,45876,9
870,80498,7
871,62539,5
872,39300,9
873,82782,9
874,26151,2
875,94948,7
876,58546,4
877,46519,7
878,64975,8
879,90345,3
880,84122,0
881,26651,1
882,20403,8
883,97130,3
884,79016,0
885,23615,0
886,45163,0
887,55449,2
888,46502,9
889,77148,7
890,99003,3
891,59126,0
892,87299,1
893,65147,7
894,88056,1
895,23587,9
896,44924,8
897,43068,9
898,95582,4
899,89998,2
900,66039,3
901,94722,3
902,37828,3
903,95216,2
904,25297,5
905,25996,5
906,72129,6
907,56682,6
908,60541,6
909,92421,6
910,66179,9
911,27199,1
912,39595,0
913,43736,0
914,45672,1
915,87141,0
916,26955,3
917,57013,7
918,36976,3
919,62325,7
920,51626,5
921,64521,6
922,41021,2
923,78521,8
924,90902,8
925,61107,1
926,48310,2
927,38958,5
928,59544,2
929,78790,8
930,72153,8
931,28311,3
932,28023,6
933,88853,6
934,57320,8
935,85233,3
936,45033,0
937,61281,2
938,34342,1
939,62927,4
940,80300,1
941,93862,3
942,91116,6
943,62560,5
944,93757,4
945,31374,5
946,71984,0
947,89926,6
948,86270,0
949,23814,2
950,46445,9
951,47544,0
952,27778,5
953,34269,0
954,66722,0
955,23966,2
956,74589,1
957,43095,8
958,68965,7
959,97333,3
960,88256,2
961,33941,6
962,68401,3
963,70081,4
964,91839,6
965,72421,3
966,42208,1
967,90643,2
968,32769,6
969,21236,9
970,38192,0
971,47703,3
972,68551,4
973,48460,7
974,38151,4
975,52379,7
976,57899,1
977,56045,4
978,61904,7
979,88043,2
980,91766,3
981,30713,9
982,63256,1
983,21695,3
984,73191,8
985,41042,8
986,37946,2
987,22748,3
988,73116,6
989,77031,9
990,36102,0
991,53641,9
